ingred,num
단호박,5
샐러리,2
당근,44
양파,131
샬롯,1
야채육수(혹은 물),1
우유,36
메이플시럽(꿀),1
통후추,11
타임,3
클로브,1
월계수잎,7
시나몬스틱,1
팽이버섯,9
마늘,41
청양고추,56
파,9
베이컨,23
숙주,7
고추기름,4
굴소스,26
설탕,152
소금,170
깨,22
피쉬소스,2
라임즙,1
다진고추,1
다진마늘,85
오일 (혹은 물),1
꿀,19
물,117
라임 제스터,1
소고기양지,1
메추리알,3
대파,84
통마늘,4
생강,11
꽈리고추,4
육수,2
진간장,35
매실액,7
물엿,33
다시마,13
소주,4
참기름,100
연어,4
로메인 (혹은 청상추),1
토마토,15
파프리카,10
적양파,3
아보카도,3
페타치즈,1
올리브오일,9
레몬즙,30
디존 머스터드,1
드라이 바질,1
드라이 오레가노,1
후추,111
레몬 제스트 (옵션),1
셀러리 새싹 (옵션),1
다진 파슬리 (옵션),1
닭,6
간장 절임 마늘,1
할라피뇨,1
발사믹크림,2
칠리소스,4
감자,16
꿀 (설탕),1
액상치킨스탁,1
드라이타임,1
바질,5
오레가노,2
닭 (볶음용),1
페페론치노,4
부추,14
생수,1
춘장,2
맛술,34
흑설탕,4
통깨,14
순두부,2
계란,54
쪽파,33
국간장,21
해물다시팩,4
고춧가루,65
고구마,5
식용유,48
올리고당,33
김,13
오이,28
치즈,6
참치,7
깻잎,13
맛살(크래미),1
마요네즈,32
"파프리카(빨강,노랑)",1
딸기,21
어린잎채소,1
블루베리,4
스트링치즈,6
바게트빵,2
크림치즈,12
올리브유,38
귤청,1
후추가루,8
스팸,10
단단한 두부,1
홍고추,11
감자전분,5
검은깨,4
콩나물,13
적채(양배추),1
쫄면,2
참깨,11
고추장,58
식초,45
간장,92
삼겹살,7
된장,11
사과,17
커피,1
청주,16
생굴,1
무,18
미나리,6
배,8
액젓,5
체다치즈,9
채끝살,1
얼큰한너구리,1
짜파게티,1
로즈마리,3
닭다리살,4
쯔유,9
가래떡,3
소고기,8
표고버섯,12
종합어묵팩,1
건고추,2
청경채,2
멸치,3
건새우,5
LA갈비,1
통후추가루,2
양송이버섯,7
모짜렐라치즈,14
버터,44
파슬리가루,7
닭순살,1
오이고추,2
양조간장,5
생강즙,6
대추,2
황설탈,1
잣,3
한천가루,3
식용색소,3
다진 소고기,2
다진 돼지고기,5
두부,11
밀가루or부침가루,1
풋고추,3
두부(부침용),1
새우,7
가쓰오부시,3
돼지등심,2
모짜렐라치즈(블럭),1
양배추,19
빵가루,11
밀가루,33
돈까스소스,3
꽃소금,1
소고기(불고기용),1
느타리버섯,7
불린고사리,1
다진생강,8
김치,12
돼지 앞다리살,1
사골육수,5
멸치가루,1
배추,2
애호박,10
부침가루,6
멸치육수팩,1
닭가슴살,8
생크림,23
레드와인,1
떡국 떡,1
굴,3
대파 흰부분,1
계랸,1
알배추,1
소고기 샤브샤브용,1
파뿌리,1
매실청,5
중화면,1
돼지목살,1
전분,6
돈코츠라멘,1
양배주,1
숙주나물,4
돼지고기 앞다리살,2
통베이컨,1
또띠아,4
돼지고기(뒷다리),1
양상추,8
방울토마토,9
고추,8
즉석밥,3
버터 무염,1
어린잎 채소,2
튀김가루,9
닭껍질,1
카레가루,5
칵테일새우,1
아스파라거스,1
스파게티면,2
새싹채소,1
옥수수통조림,2
발사믹식초,3
팥가루,1
찹쌀가루,4
생 칵테일 새우 (대),1
통후추 가루,1
배추김치,3
밥,34
달걀,41
콩나물 1봉지,1
맛소금,1
해물 다시팩 육수,1
다진 파,4
다진 마늘,45
※닭다리살 정육은 대형마트 or 코스트코에서 구매,1
오징어,7
도토리묵,3
신김치(줄기쪽),1
쫑쫑 썬 대파· 통깨,1
있으면 밥,1
밴댕이,2
국물용 멸치,3
다시마(7*7cm),1
빠삐코바,1
휘핑크림,8
롯데샌드,1
코코볼,1
식빵,22
키스틱크림치즈롤,1
키스틱 체다치즈,1
김밥 재료,1
샌드위치 햄,1
쨈,1
바륵목장 소프트요거트,1
꼬지,1
파스타면,4
파슬리,10
파마산치즈,4
꼬막,2
양념간장,2
고추가루,23
쌀밥,5
고구마 두개,1
튀김가루 1봉,1
청양고추 2개,1
기름,1
미역,2
국거리 소고기,1
쇠고기다시다,1
비엔나소시지,2
케첩,10
소고기 채끝살,1
미림,25
아맛나콘,1
빙수팥,1
에스프레소 ( 혹은 커피우유 ),1
바닐라아이스크림,2
얼음,11
아맛나 콘아이스크림,1
우유 얼음,1
찹쌀떡,1
팥,2
콩가루,2
별난바톡톡,2
우유얼음,2
에스프레소 (혹은 커피우유),1
시리얼토핑,1
초코시럽,3
각종 토핑,2
에스프레소 샷 (혹은 커피우유),1
초콜렛,3
묵은지(신김치),1
대패 삼겹살,1
들기름(참기름),1
후춧가루,22
묵은김치,2
소면,6
김치국물,2
사과식초,1
깨소금,19
돼지앞다리,1
믹서기에 갈 재료) 양파,1
(제육 양념장) 진간장,1
요리 당,1
콩기름,1
차가운 물,1
크런키 초콜렛,1
황금 돼지바,1
바나나,10
속편한 쾌변,1
햇반,2
의성마늘 로스팜,3
의성마늘 비엔나,1
떡사리,1
당면사리,1
라면사리,4
고추장 등 양념장,1
각종 야채,2
대망의 라면스프,1
피자소스,2
옥수수콘,2
피자치즈,9
파프리카 혹은 피망,1
오리고기,1
쌈무,2
무순,7
과일,1
그래놀라 시리얼,1
파스퇴르 쾌변 플레인맛,1
핫케이크,1
라베스트민트초코콘,2
꿀 혹은 시럽,1
초코과자,1
데코용 딸기,1
"쾌변(사과맛,포도맛,골드키위맛,플레인맛)",1
체리,2
석류,1
골드키위,1
귤,2
감자 삶은것,1
우동면,2
차돌박이,6
"파프리카(적,노)",1
파마산치즈 가루,1
떡볶이떡,6
키스틱,1
청포도,3
이 외 취향에 맞는 과일,1
국화빵통팥,1
파스퇴르 우유,1
토핑과자,1
파슬리 가루,2
브로콜리가루,1
케일가루,1
